date,count,package
2022-04-29,31086,lubridate
2022-04-30,21702,lubridate
2022-05-01,22544,lubridate
2022-05-02,33876,lubridate
2022-05-03,37504,lubridate
2022-05-04,38726,lubridate
2022-05-05,36546,lubridate
2022-05-06,34043,lubridate
2022-05-07,22069,lubridate
2022-05-08,21322,lubridate
2022-05-09,35210,lubridate
2022-05-10,35207,lubridate
2022-05-11,33844,lubridate
2022-05-12,35092,lubridate
2022-05-13,30982,lubridate
2022-05-14,20999,lubridate
2022-05-15,20663,lubridate
2022-05-16,33636,lubridate
2022-05-17,33882,lubridate
2022-05-18,34056,lubridate
2022-05-19,33327,lubridate
2022-05-20,32059,lubridate
2022-05-21,19966,lubridate
2022-05-22,20070,lubridate
2022-05-23,33376,lubridate
2022-05-24,35149,lubridate
2022-05-25,32893,lubridate
2022-05-26,29686,lubridate
2022-05-27,28620,lubridate
2022-05-28,20557,lubridate
2022-05-29,19478,lubridate
2022-05-30,29350,lubridate
2022-05-31,33364,lubridate
2022-06-01,32202,lubridate
2022-06-02,32097,lubridate
2022-06-03,30478,lubridate
2022-06-04,20491,lubridate
2022-06-05,21010,lubridate
2022-06-06,34275,lubridate
2022-06-07,37013,lubridate
2022-06-08,32875,lubridate
2022-06-09,31914,lubridate
2022-06-10,30447,lubridate
2022-06-11,19007,lubridate
2022-06-12,18639,lubridate
2022-06-13,31815,lubridate
2022-06-14,33534,lubridate
2022-06-15,30712,lubridate
2022-06-16,31215,lubridate
2022-06-17,27991,lubridate
2022-06-18,19175,lubridate
2022-06-19,18879,lubridate
2022-06-20,30656,lubridate
2022-06-21,31588,lubridate
2022-06-22,29584,lubridate
2022-06-23,31010,lubridate
2022-06-24,26720,lubridate
2022-06-25,18359,lubridate
2022-06-26,18535,lubridate
2022-06-27,31223,lubridate
2022-06-28,30930,lubridate
2022-06-29,28690,lubridate
2022-06-30,26407,lubridate
2022-07-01,25651,lubridate
2022-07-02,17233,lubridate
2022-07-03,17176,lubridate
2022-07-11,30206,lubridate
2022-07-12,31483,lubridate
2022-07-13,30912,lubridate
2022-07-14,30625,lubridate
2022-07-15,27567,lubridate
2022-07-16,19263,lubridate
2022-07-17,18682,lubridate
2022-07-18,31461,lubridate
2022-07-19,33476,lubridate
2022-07-20,32174,lubridate
2022-07-21,31793,lubridate
2022-07-22,29304,lubridate
2022-07-23,19141,lubridate
2022-07-24,19758,lubridate
2022-07-25,31365,lubridate
2022-07-26,34704,lubridate
2022-07-27,31429,lubridate
2022-07-28,35040,lubridate
2022-07-29,33611,lubridate
2022-07-30,24864,lubridate
2022-07-31,25112,lubridate
2022-08-01,37879,lubridate
2022-08-02,38295,lubridate
2022-08-03,38252,lubridate
2022-08-04,38480,lubridate
2022-08-05,35834,lubridate
2022-08-06,25051,lubridate
2022-08-07,25794,lubridate
2022-08-08,38166,lubridate
2022-08-09,39376,lubridate
2022-08-10,38069,lubridate
2022-08-11,37889,lubridate
2022-08-12,33178,lubridate
2022-08-13,24282,lubridate
2022-08-14,25731,lubridate
2022-08-15,33964,lubridate
2022-08-16,47554,lubridate
2022-08-17,31307,lubridate
2022-08-18,30766,lubridate
2022-08-19,29243,lubridate
2022-08-20,23500,lubridate
2022-08-21,23397,lubridate
2022-08-22,35536,lubridate
2022-08-23,37183,lubridate
2022-08-24,38831,lubridate
2022-08-25,36930,lubridate
2022-08-26,33632,lubridate
2022-08-27,22103,lubridate
2022-08-28,22744,lubridate
2022-08-29,37888,lubridate
2022-08-30,39801,lubridate
2022-08-31,38380,lubridate
2022-09-01,37252,lubridate
2022-09-02,32759,lubridate
2022-09-03,20173,lubridate
2022-09-04,19984,lubridate
2022-09-05,31433,lubridate
2022-09-06,36362,lubridate
2022-09-07,33367,lubridate
2022-09-08,32684,lubridate
2022-09-09,28946,lubridate
2022-09-10,18281,lubridate
2022-09-11,18779,lubridate
2022-09-12,30829,lubridate
2022-09-13,33683,lubridate
2022-09-14,32989,lubridate
2022-09-15,32606,lubridate
2022-09-16,29108,lubridate
2022-09-17,16307,lubridate
2022-09-18,16632,lubridate
2022-09-19,32036,lubridate
2022-09-20,35008,lubridate
2022-09-21,31447,lubridate
2022-09-22,30729,lubridate
2022-09-23,26869,lubridate
2022-09-24,16941,lubridate
2022-09-25,17217,lubridate
2022-09-26,32891,lubridate
2022-09-27,34371,lubridate
2022-09-28,32513,lubridate
2022-09-29,31864,lubridate
2022-09-30,27590,lubridate
2022-10-01,15729,lubridate
2022-10-02,16025,lubridate
2022-10-03,NA,lubridate
2022-10-04,33421,lubridate
2022-10-05,31059,lubridate
2022-10-06,31459,lubridate
2022-10-07,26409,lubridate
2022-10-08,16672,lubridate
2022-10-09,17416,lubridate
2022-10-10,30383,lubridate
2022-10-11,31822,lubridate
2022-10-12,32168,lubridate
2022-10-13,30888,lubridate
2022-10-14,27612,lubridate
2022-10-15,17137,lubridate
2022-10-16,16375,lubridate
2022-01-01,309,gt
2022-01-02,366,gt
2022-01-03,846,gt
2022-01-04,908,gt
2022-01-05,876,gt
2022-01-06,944,gt
2022-01-07,718,gt
2022-01-08,494,gt
2022-01-09,568,gt
2022-01-10,931,gt
2022-01-11,965,gt
2022-01-12,1155,gt
2022-01-13,997,gt
2022-01-14,920,gt
2022-01-15,NA,gt
2022-01-16,520,gt
2022-01-17,955,gt
2022-01-18,1057,gt
2022-01-19,1134,gt
2022-01-20,984,gt
2022-01-21,1001,gt
2022-01-22,613,gt
2022-01-23,518,gt
2022-01-24,1180,gt
2022-01-25,1369,gt
2022-01-26,1109,gt
2022-01-27,1269,gt
2022-01-28,1355,gt
2022-01-29,672,gt
2022-01-30,801,gt
2022-01-31,1372,gt
2022-02-01,1322,gt
2022-02-02,1297,gt
2022-02-03,1111,gt
2022-02-04,1216,gt
2022-02-05,558,gt
2022-02-06,659,gt
2022-02-07,1256,gt
2022-02-08,1173,gt
2022-02-09,1333,gt
2022-02-10,1132,gt
2022-02-11,1169,gt
2022-02-12,492,gt
2022-02-13,576,gt
2022-02-14,1264,gt
2022-02-15,2358,gt
2022-02-16,2390,gt
2022-02-17,2091,gt
2022-02-18,1591,gt
2022-02-19,797,gt
2022-02-20,808,gt
2022-02-21,1572,gt
2022-02-22,1675,gt
2022-02-23,1709,gt
2022-02-24,1392,gt
2022-02-25,1182,gt
2022-02-26,640,gt
2022-02-27,744,gt
2022-02-28,1481,gt
2022-03-01,1479,gt
2022-03-02,1416,gt
2022-03-03,1579,gt
2022-03-04,1320,gt
2022-03-05,620,gt
2022-03-06,784,gt
2022-03-07,1558,gt
2022-03-08,1495,gt
2022-03-09,1730,gt
2022-03-10,1620,gt
2022-03-11,1530,gt
2022-03-12,777,gt
2022-03-13,820,gt
2022-03-14,1729,gt
2022-03-15,1616,gt
2022-03-16,1541,gt
2022-03-17,1619,gt
2022-03-18,1447,gt
2022-03-19,1180,gt
